 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 5.    Time:  23: 1:18
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67    440.00     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   68    448.16     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   69    454.85     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   70    461.54     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   71    468.23     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   72    474.92     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   73    481.61     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   74    488.29     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   75    494.98     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   76    501.67     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   77    508.36     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   78    515.05     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   79    521.74     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   80    528.43     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   81    535.12     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   82    541.81     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   83    548.49     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   84    555.18     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   85    561.87     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   86    568.56     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   87    575.25     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   88    581.94     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   89    588.63     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   90    595.32     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   91    602.01     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   92    608.70     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   93    615.39     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   94    622.07     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   95    628.76     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   96    635.45     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   97    642.14     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   98    648.83     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
   99    655.52     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  100    662.21     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  101    668.90     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  102    675.59     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  103    682.27     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  104    688.96     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  105    695.65     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  106    702.34     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  107    709.03     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  108    715.72     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  109    722.41     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  110    729.10     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  111    735.79     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  112    742.47     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  113    749.16     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  114    755.85     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  115    762.54     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  116    769.23     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  117    775.92     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  118    782.61     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  119    789.30     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  120    795.99     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  121    802.67     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  122    809.36     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  123    816.05     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  124    822.74     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  125    829.43     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  126    836.12     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  127    842.81     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  128    849.50     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  129    856.19     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  130    862.88     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  131    869.57     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  132    876.25     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  133    882.94     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  134    889.63     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  135    896.32     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  136    903.01     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  137    909.70     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  138    916.39     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  139    923.08     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  140    929.77     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  141    936.46     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  142    943.14     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  143    949.83     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  144    956.52     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  145    963.21     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  146    969.90     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  147    976.59     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  148    983.28     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  149    989.97     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  150    996.66     0.083     0.477       0.0   0.117E-01     0.156     0.001     1.000     1.000     1.000
  151   1003.34     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  152   1010.03     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  153   1016.72     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  154   1023.41     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  155   1030.10     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  156   1036.79     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  157   1043.48     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  158   1050.17     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  159   1056.86     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  160   1063.55     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  161   1070.23     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  162   1076.92     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  163   1083.61     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  164   1090.30     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  165   1096.99     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  166   1103.68     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  167   1110.37     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  168   1117.06     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  169   1123.75     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
