 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.    Time:  17: 3:23
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  291   2104.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  292   2111.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  293   2119.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  294   2126.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  295   2133.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  296   2140.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  297   2148.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  298   2155.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  299   2162.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  300   2169.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  301   2177.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  302   2184.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  303   2191.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  304   2198.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  305   2206.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  306   2213.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  307   2220.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  308   2227.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  309   2235.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  310   2242.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  311   2249.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  312   2256.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  313   2264.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  314   2271.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  315   2278.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  316   2286.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  317   2293.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  318   2300.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  319   2307.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  320   2315.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  321   2322.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  322   2329.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  323   2336.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  324   2344.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  325   2351.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  326   2358.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  327   2365.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  328   2373.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  329   2380.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  330   2387.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  331   2394.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  332   2402.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  333   2409.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  334   2416.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  335   2423.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  336   2431.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  337   2438.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  338   2445.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  339   2452.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  340   2460.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  341   2467.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  342   2474.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  343   2481.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  344   2489.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  345   2496.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  346   2503.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  347   2510.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  348   2518.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  349   2525.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  350   2532.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  351   2540.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
end
