 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.    Time:  17: 3:23
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67    478.97     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   68    486.23     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   69    493.49     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   70    500.74     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   71    508.00     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   72    515.26     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   73    522.51     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   74    529.77     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   75    537.03     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   76    544.29     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   77    551.54     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   78    558.80     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   79    566.06     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   80    573.31     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   81    580.57     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   82    587.83     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   83    595.09     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   84    602.34     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   85    609.60     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   86    616.86     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   87    624.11     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   88    631.37     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   89    638.63     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   90    645.89     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   91    653.14     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   92    660.40     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   93    667.66     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   94    674.91     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   95    682.17     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   96    689.43     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   97    696.69     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   98    703.94     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   99    711.20     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  100    718.46     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  101    725.71     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  102    732.97     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  103    740.23     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  104    747.49     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  105    754.74     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  106    762.00     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  107    769.26     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  108    776.51     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  109    783.77     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  110    791.03     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  111    798.29     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  112    805.54     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  113    812.80     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  114    820.06     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  115    827.31     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  116    834.57     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  117    840.00     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  118    849.09     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  119    856.34     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  120    863.60     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  121    870.86     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
